Tanggal,Tn,Tx,Tavg,kelembaban,curah_hujan,matahari,kecepatan_angin,kecepatan_angin,,
21-05-2016,22,31.6,27.4,85,0.3,2.3,4,65,,
22-05-2016,23,32,26.8,93,0.7,6.5,4,290,,
23-05-2016,22,32.2,27.5,84,5.7,2.3,3,51,,
24-05-2016,22,32,27.9,76,0,7,4,310,,
25-05-2016,22,31.8,27.3,87,0,8.2,5,50,,
26-05-2016,22,30.4,27.3,84,0,8,2,94,,
27-05-2016,22,31.8,27.9,84,3.7,4.5,3,130,,
28-05-2016,22,32,27.5,81,0,8.5,4,30,,
29-05-2016,22,31.6,27.1,76,0,8.5,4,70,,
30-05-2016,22,28.2,25.6,95,0,6.8,2,53,,
31-05-2016,21,31.8,26.6,88,1.5,0.3,3,45,,
01-06-2016,22,32,27,90,6.5,4.8,3,60,,
02-06-2016,21,31.6,26.3,92,5.6,4.3,3,317,,
03-06-2016,21,31.8,27.6,84,5.7,5.7,3,81,,
04-06-2016,22,31.5,27.8,83,0,6.4,3,50,,
05-06-2016,23,32.6,28.1,81,0,5,2,66,,
06-06-2016,22,31,26.5,91,1.1,7,4,10,,
07-06-2016,21,32.1,27.7,80,0,1.3,2,50,,
08-06-2016,22,32,27,85,0,5.5,3,64,,
09-06-2016,23,30.9,27.2,92,1,6.6,2,60,,
10-06-2016,24,32.2,27.6,85,0,2,2,290,,
11-06-2016,22,31.4,26.6,89,5.1,7.1,2,154,,
12-06-2016,21,31.8,26.7,85,0,7,3,169,,
13-06-2016,22,31.8,28,78,0.3,4,4,55,,
14-06-2016,23,32,27.5,75,0,8.1,2,200,,
15-06-2016,25,31.8,27.2,85,3.7,0.3,3,300,,
16-06-2016,22,32,27.5,83,0,6,3,47,,
17-06-2016,24,32,27,84,3,7.6,3,50,,
18-06-2016,23,32.4,27.4,83,5.8,6.4,3,50,,
19-06-2016,24,29.4,26.9,89,0,6.8,2,185,,
20-06-2016,24,32.8,27.5,82,0,0.4,4,152,,
21-06-2016,22,33.3,26.5,88,0,7.8,3,50,,
22-06-2016,23,30,25.7,92,34.3,6.5,2,30,,
23-06-2016,24,30.4,25.6,95,40.5,4.7,4,141,,
24-06-2016,20,31.7,26.3,86,0.2,3.4,2,140,,
25-06-2016,25,30.8,25.4,92,0.6,4.3,2,96,,
26-06-2016,24,30.1,25.8,95,10.8,0.8,2,320,,
27-06-2016,23,31.7,26.2,85,4.2,1.1,3,201,,
28-06-2016,23,31.6,26.4,89,0,7.2,2,31,,
29-06-2016,24,31,24.9,99,13.6,7.8,3,351,,
30-06-2016,24,31.8,26.7,89,37.2,1,2,43,,
01-07-2016,26,32,26.6,84,0,4,3,70,,
02-07-2016,23,31,26.3,96,12.8,9.3,3,30,,
03-07-2016,22,29.8,26.1,94,89,0.7,2,320,,
04-07-2016,21,32,26.9,88,0.2,1.4,3,290,,
05-07-2016,20,31.4,26.3,88,1.5,4,4,120,,
06-07-2016,21,31.4,26.7,86,0,4,3,160,,
07-07-2016,22,32.2,27.5,75,0,5,4,301,,
08-07-2016,20,30.8,26,93,111.6,4.4,3,110,,
09-07-2016,20,31.6,27.2,80,4.3,2,3,314,,
10-07-2016,21,31.2,26.8,87,0,8.8,3,50,,
11-07-2016,21,28.2,25.4,95,2.7,8,2,300,,
12-07-2016,20,31.2,26.6,84,5,1,2,30,,
13-07-2016,21,30,26.8,84,0,5,3,49,,
14-07-2016,20,31.8,27.3,80,1.7,2.3,3,192,,
15-07-2016,20,31.7,27.7,77,0,8.5,3,50,,
16-07-2016,20,31.7,26.8,80,0,9.5,4,80,,
17-07-2016,20,31,26.3,91,2.6,7.2,4,47,,
